Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Datetime,,,,,
2025-03-18 15:42:00+00:00,19666.25,19676.75,19460.75,19669.0,1689
2025-03-18 15:43:00+00:00,19672.75,19677.25,19463.25,19464.0,1008
2025-03-18 15:44:00+00:00,19673.75,19679.0,19465.25,19673.0,1466
2025-03-18 15:45:00+00:00,19679.5,19692.25,19467.5,19673.25,2171
2025-03-18 15:46:00+00:00,19670.5,19684.0,19459.0,19475.75,2087
2025-03-18 15:47:00+00:00,19667.75,19673.5,19461.25,19670.5,918
2025-03-18 15:48:00+00:00,19670.75,19672.25,19459.0,19668.25,1180
2025-03-18 15:49:00+00:00,19666.0,19674.5,19460.25,19466.5,908
2025-03-18 15:50:00+00:00,19452.25,19667.0,19448.75,19460.25,0
2025-03-18 15:51:00+00:00,19459.0,19665.0,19449.5,19452.25,544
2025-03-18 15:52:00+00:00,19653.25,19666.5,19444.25,19460.0,346544
2025-03-18 15:53:00+00:00,19656.75,19660.25,19444.0,19451.0,1310
2025-03-18 15:54:00+00:00,19651.5,19661.25,19444.5,19656.25,1363
2025-03-18 15:55:00+00:00,19649.25,19661.75,19444.5,19448.5,1258
2025-03-18 15:56:00+00:00,19434.25,19649.5,19430.25,19445.75,0
2025-03-18 15:57:00+00:00,19630.75,19642.75,19426.25,19433.75,350680
2025-03-18 15:58:00+00:00,19651.75,19652.5,19427.0,19630.25,2768
2025-03-18 15:59:00+00:00,19456.0,19666.75,19442.75,19652.0,0
2025-03-18 16:00:00+00:00,19655.5,19660.75,19446.5,19456.5,354976
2025-03-18 16:01:00+00:00,19672.0,19675.0,19453.25,19453.5,2600
2025-03-18 16:02:00+00:00,19682.0,19683.75,19466.5,19671.75,2243
2025-03-18 16:03:00+00:00,19481.0,19689.0,19475.25,19478.25,0
2025-03-18 16:04:00+00:00,19480.75,19692.75,19476.0,19481.25,594
2025-03-18 16:05:00+00:00,19487.75,19693.25,19476.25,19480.75,564
2025-03-18 16:06:00+00:00,19690.25,19696.0,19480.0,19487.75,361182
2025-03-18 16:07:00+00:00,19689.5,19694.75,19483.75,19486.5,1207
2025-03-18 16:08:00+00:00,19681.5,19692.5,19476.75,19690.25,1196
2025-03-18 16:09:00+00:00,19686.5,19689.0,19471.75,19681.25,1732
2025-03-18 16:10:00+00:00,19491.75,19698.75,19481.25,19686.5,0
2025-03-18 16:11:00+00:00,19709.25,19714.5,19488.75,19493.25,367841
2025-03-18 16:12:00+00:00,19717.75,19723.75,19505.0,19709.25,2878
2025-03-18 16:13:00+00:00,19713.75,19725.0,19509.0,19718.25,2214
2025-03-18 16:14:00+00:00,19724.5,19728.0,19509.0,19713.75,1837
2025-03-18 16:15:00+00:00,19725.0,19732.0,19518.25,19520.75,2557
2025-03-18 16:16:00+00:00,19522.25,19731.25,19519.0,19522.0,0
2025-03-18 16:17:00+00:00,19712.5,19727.0,19505.25,19521.0,374010
2025-03-18 16:18:00+00:00,19709.5,19713.0,19500.5,19711.75,1809
